ticker,sic,sector
MPC,2911.0,Energy
MPWR,3674.0,Information Technology
MRK,2834.0,Health Care
MRNA,2836.0,Health Care
MRSH,6411.0,Financials
MRVL,3674.0,Information Technology
MS,6211.0,Financials
MSFT,7372.0,Information Technology
MSI,3663.0,Information Technology
MSTR,6199.0,Financials
MTCH,7370.0,Information Technology
MU,3674.0,Information Technology
NBIS,7370.0,Information Technology
NBR,1381.0,Energy
NCLH,4400.0,Consumer Discretionary
NEE,4911.0,Utilities
NEM,1040.0,Materials
NFLX,7841.0,Communication Services
NKE,3021.0,Consumer Discretionary
NOC,3812.0,Information Technology
NOV,3533.0,Industrials
NOW,7372.0,Information Technology
NSC,4011.0,Industrials
NTAP,3572.0,Information Technology
NTES,7372.0,Information Technology
NUE,3312.0,Materials
NVDA,3674.0,Information Technology
NXPI,3674.0,Information Technology
OKTA,7372.0,Information Technology
ON,3674.0,Information Technology
ORCL,7372.0,Information Technology
ORLY,5531.0,Consumer Discretionary
OXY,1311.0,Energy
PANW,3577.0,Information Technology
PCG,4931.0,Utilities
PDD,7389.0,Industrials
PEP,2080.0,Consumer Staples
PFE,2834.0,Health Care
PG,2840.0,Materials
PHM,1531.0,Consumer Discretionary
PLTR,7372.0,Information Technology
PM,2111.0,Consumer Staples
PNC,6021.0,Financials
PPG,2851.0,Materials
PRGO,2834.0,Health Care
PSKY,4833.0,Communication Services
PSX,2911.0,Energy
PTEN,1381.0,Energy
PTON,3949.0,Consumer Discretionary
PYPL,7389.0,Financials
QCOM,3663.0,Information Technology
QGEN,2836.0,Health Care
RCL,4400.0,Consumer Discretionary
REGN,2834.0,Health Care
RIG,1381.0,Energy
RIVN,3711.0,Consumer Discretionary
RKLB,3760.0,Industrials
ROST,5651.0,Consumer Discretionary
RRC,1311.0,Energy
RTX,3724.0,Industrials
RYAAY,4512.0,Industrials
SANM,3672.0,Information Technology
SBAC,6798.0,Real Estate
SBUX,5810.0,Consumer Discretionary
SCHW,6211.0,Financials
SHOP,7372.0,Information Technology
SIRI,4832.0,Communication Services
SLB,1389.0,Energy
SLM,6141.0,Financials
SMCI,3571.0,Information Technology
SNDK,3572.0,Information Technology
SNPS,7372.0,Information Technology
SPG,6798.0,Real Estate
SPGI,7320.0,Financials
STLD,3312.0,Materials
STT,6022.0,Financials
STX,3572.0,Information Technology
STZ,2080.0,Consumer Staples
SWKS,3674.0,Information Technology
SYF,6199.0,Financials
T,4813.0,Communication Services
TCOM,7389.0,Industrials
TEAM,7372.0,Information Technology
TER,3825.0,Information Technology
TEVA,2834.0,Health Care
TGT,5331.0,Consumer Staples
TJX,5651.0,Consumer Discretionary
TMO,3829.0,Information Technology
TMUS,4812.0,Communication Services
TPR,3100.0,Consumer Discretionary
TRI,2741.0,Communication Services
TSCO,5200.0,Consumer Discretionary
TSLA,3711.0,Consumer Discretionary
TTD,7370.0,Information Technology
TTWO,7372.0,Information Technology
TXN,3674.0,Information Technology
UAA,2300.0,Consumer Discretionary
UAL,4512.0,Industrials
UBER,7389.0,Consumer Discretionary
ULTA,5990.0,Consumer Discretionary
UNH,6324.0,Health Care
UNP,4011.0,Industrials
