model,params,NLL / day,AIC,AICc,BIC,dAICc,dBIC
"SARIMA(3,1,5)(1,0,2)[5]",13,1.5857879145300908,5991.734134462202,5991.92909964699,6063.748399243115,11.78590096946391,39.65169236528709
"SARIMA(3,1,5)(2,0,1)[5]",13,1.5857910123860528,5991.74578859633,5991.940753781119,6063.760053377244,11.797555103592458,39.66334649941564
"SARIMA(3,1,3)(0,0,1)[21]",9,1.5879465203183505,5991.854809437635,5991.951014675476,6041.710838901344,11.807815997949549,17.614132023515594
"SARIMA(5,1,4)(2,0,0)[5]",13,1.5857951054320465,5991.761186635358,5991.956151820146,6063.775451416272,11.812953142620245,39.67874453844343
"SARIMA(4,1,5)(2,0,0)[5]",13,1.5857984042961493,5991.7735969621135,5991.968562146902,6063.787861743027,11.825363469375588,39.69115486519877
"SARIMA(5,1,3)(1,0,2)[5]",13,1.5858185389076147,5991.849343370446,5992.044308555234,6063.86360815136,11.901109877708222,39.7669012735314
"SARIMA(2,1,4)(2,0,0)[5]",10,1.587448009775236,5991.979412774438,5992.0970598332615,6047.3750010674485,11.953861155735469,23.278294189620283
"SARIMA(2,1,2)(0,0,1)[21]",7,1.5890816131713,5992.12502875043,5992.184825867354,6030.901940555537,12.041627189828432,6.805233677709111
"SARIMA(2,1,2)(1,0,0)[21]",7,1.5890864291032458,5992.143146286411,5992.202943403336,6030.920058091519,12.05974472580965,6.82335121369033
"SARIMA(5,1,5)(0,0,2)[21]",14,1.5853298331566776,5992.010832335422,5992.235912721274,6069.564655945636,12.092714043747948,45.46794906780815
"SARIMA(5,1,3)(2,0,2)[5]",14,1.585393842707855,5992.251636266952,5992.4767166528045,6069.805459877167,12.333517975278482,45.708752999338685
"SARIMA(3,1,5)(2,0,2)[5]",14,1.5853946292893577,5992.254595386564,5992.479675772416,6069.8084189967785,12.336477094890142,45.711712118950345
"SARIMA(5,1,5)(2,0,0)[21]",14,1.5854075629170603,5992.303251693982,5992.528332079834,6069.857075304197,12.385133402308384,45.760368426368586
"SARIMA(3,1,3)(0,0,1)[63]",9,1.5881348311325154,5992.563234720523,5992.659439958364,6042.419264184232,12.516241280837676,18.322557306403723
"SARIMA(3,1,3)(1,0,0)[63]",9,1.588169202183631,5992.69253861482,5992.78874385266,6042.548568078529,12.64554517513443,18.45186120070048
"SARIMA(5,1,5)",12,1.586567888067443,5992.6683949097205,5992.835418464324,6059.143100861333,12.692219786797978,35.04639398350446
"SARIMA(2,1,2)(0,0,1)[63]",7,1.5892584673796235,5992.790354282144,5992.850151399069,6031.567266087252,12.70695272154262,7.4705592094233
"SARIMA(2,1,2)(1,0,2)[63]",9,1.5881894561276593,5992.768733952255,5992.864939190095,6042.624763415964,12.72174051256934,18.528056538135388
"SARIMA(5,1,2)(1,0,0)[21]",10,1.5876555823558325,5992.7603008226415,5992.877947881465,6048.155889115652,12.734749203938918,24.05918223782373
"SARIMA(5,1,2)(0,0,1)[21]",10,1.5876565540344396,5992.763956277562,5992.8816033363855,6048.1595445705725,12.738404658859508,24.062837692744324
"SARIMA(2,1,2)(2,0,1)[63]",9,1.58823778409604,5992.950543769302,5993.046749007143,6042.806573233012,12.903550329617246,18.70986635518329
"SARIMA(2,1,3)(1,0,1)[63]",9,1.5882493644817466,5992.99410918033,5993.090314418171,6042.850138644039,12.947115740645131,18.75343176621118
"SARIMA(5,1,2)(0,0,1)[63]",10,1.5877124685424908,5992.974306656851,5993.091953715674,6048.369894949861,12.948755038148192,24.273188072033008
"SARIMA(2,1,5)",9,1.5882528929310047,5993.00738320644,5993.103588444281,6042.863412670149,12.960389766754815,18.766705792320863
"SARIMA(3,1,2)(1,0,1)[63]",9,1.5882533030468051,5993.008926062081,5993.105131299922,6042.86495552579,12.96193262239558,18.768248647961627
"SARIMA(5,1,2)(1,0,1)[63]",11,1.5871966694497142,5993.033870469824,5993.175122476245,6053.969017592136,13.031923798718708,29.872310714307787
"SARIMA(2,1,5)(1,0,1)[63]",11,1.5872318991382657,5993.166404558156,5993.307656564576,6054.101551680467,13.164457887050048,30.004844802639127
"SARIMA(3,1,4)",9,1.5883172784804758,5993.24960164355,5993.345806881391,6043.105631107259,13.202608203864656,19.008924229430704
"SARIMA(4,1,3)",9,1.588321048630123,5993.263784946523,5993.359990184364,6043.119814410232,13.21679150683758,19.02310753240363
"SARIMA(3,1,3)(2,0,0)[21]",10,1.5878018761194126,5993.31065796123,5993.428305020054,6048.706246254241,13.285106342527795,24.609539376412613
"SARIMA(3,1,3)(0,0,2)[21]",10,1.587803331615256,5993.316133536593,5993.4337805954165,6048.711721829603,13.29058191789045,24.615014951775265
"SARIMA(3,1,2)",7,1.5894151132380243,5993.379656001447,5993.439453118372,6032.156567806554,13.296254440845589,8.059860928726266
"SARIMA(2,1,2)(2,0,2)[63]",10,1.58781733322779,5993.368807602947,5993.48645466177,6048.764395895957,13.343255984244024,24.66768901812884
"SARIMA(2,1,2)(1,0,0)[63]",7,1.589434944807653,5993.454262366391,5993.514059483316,6032.231174171498,13.370860805789562,8.134467293670241
"SARIMA(5,1,2)(1,0,0)[63]",10,1.5878361085733312,5993.439440452872,5993.557087511696,6048.8350287458825,13.413888834169484,24.7383218680543
"SARIMA(5,1,5)(1,0,0)[63]",13,1.5862323986724949,5993.406283805925,5993.601248990713,6065.420548586839,13.458050313187414,41.323841709010594
"SARIMA(2,1,2)(2,0,0)[21]",8,1.5889228282520431,5993.527679884186,5993.604602961109,6037.844150518595,13.461404283582851,13.747443640766503
"SARIMA(2,1,3)",7,1.589472782294087,5993.596606990355,5993.65640410728,6032.373518795463,13.513205429753723,8.276811917634404
"SARIMA(5,1,5)(0,0,1)[63]",13,1.586249005573814,5993.468758968688,5993.663724153476,6065.483023749602,13.520525475950308,41.38631687177349
"SARIMA(5,1,5)(1,0,1)[21]",14,1.585711244505979,5993.445701831492,5993.670782217345,6070.999525441707,13.527583539818806,46.90281856387901
"SARIMA(5,1,3)",10,1.5878669823413485,5993.555587568153,5993.673234626976,6048.951175861163,13.530035949450394,24.85446898333521
